userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,157,5.0,964984100
1,163,5.0,964983650
1,216,5.0,964981208
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,316,3.0,964982310
1,333,5.0,964981179
1,349,4.0,964982563
2,1,3.5,1141391765
2,10,4.0,1141391880
2,17,5.0,1141392125
2,39,3.5,1141391940
2,47,4.0,1141392075
2,50,4.0,1141391835
2,52,3.0,1141392060
2,62,3.0,1141391920
2,110,4.5,1141391755
2,144,3.0,1141391855
2,150,5.0,1141391785
2,153,4.0,1141391810
2,161,4.0,1141391960
2,165,3.0,1141392000
2,231,4.0,1141391990
2,260,5.0,1141391725
2,292,3.5,1141391870
2,296,4.5,1141391745
2,318,4.5,1141391715
2,337,3.5,1141391995
3,1,4.0,1439472382
3,2,3.0,1439472393
3,6,5.0,1439472257
3,10,4.5,1439472275
3,32,5.0,1439472350
3,47,4.5,1439472318
3,50,5.0,1439472200
3,70,3.5,1439472305
3,101,4.0,1439472240
3,110,4.5,1439472210
3,151,4.5,1439472338
3,157,5.0,1439472360
3,163,4.0,1439472248
3,216,3.5,1439472375
3,235,4.5,1439472290
3,260,5.0,1439472175
3,296,5.0,1439472155
3,316,3.0,1439472412
3,318,5.0,1439472145
3,333,4.0,1439472264
4,1,3.0,1019783085
4,6,3.0,1019783065
4,10,3.0,1019783030
4,34,5.0,1019783015
4,47,4.0,1019783045
4,50,5.0,1019783000
4,110,3.5,1019783075
4,150,4.0,1019783055
4,153,3.0,1019783025
4,161,5.0,1019783010
4,165,3.0,1019783090
4,208,3.0,1019783050
4,231,4.0,1019783035
4,260,4.5,1019783070
4,292,3.5,1019783060
4,296,4.0,1019783095
4,318,5.0,1019782985
4,337,3.0,1019783080
4,349,3.5,1019783040
4,356,4.0,1019783020
5,1,4.5,1168973468
5,2,4.0,1168973505
5,6,4.5,1168973510
5,10,3.5,1168973460
5,32,5.0,1168973445
5,34,4.0,1168973520
5,47,5.0,1168973425
5,50,5.0,1168973410
5,62,3.5,1168973530
5,101,4.5,1168973455
5,110,5.0,1168973400
5,150,3.5,1168973515
5,151,5.0,1168973440
5,157,4.5,1168973450
5,163,4.0,1168973475
5,216,4.0,1168973495
5,231,4.5,1168973500
5,260,5.0,1168973390
5,296,4.5,1168973415
5,318,5.0,1168973380
6,1,3.0,1291898274
6,3,3.5,1291898290
6,10,3.0,1291898305
6,17,4.0,1291898315
6,39,4.0,1291898325
6,47,3.5,1291898260
6,50,4.5,1291898245
6,52,2.5,1291898335
6,62,3.0,1291898340
6,70,3.5,1291898350
6,101,3.0,1291898285
6,110,4.0,1291898240
6,144,2.5,1291898360
6,150,4.0,1291898280
6,161,3.5,1291898310
6,165,2.5,1291898345
6,208,3.0,1291898330
6,231,3.5,1291898295
6,260,4.5,1291898230
6,296,4.0,1291898250
7,1,4.5,1302850863
7,2,4.0,1302850870
7,6,5.0,1302850855
7,32,4.5,1302850845
7,34,5.0,1302850810
7,47,5.0,1302850800
7,50,5.0,1302850790
7,101,4.0,1302850860
7,110,5.0,1302850785
7,150,3.5,1302850850
7,151,4.5,1302850830
7,153,3.5,1302850840
7,157,5.0,1302850815
7,163,4.5,1302850825
7,216,4.0,1302850875
7,260,5.0,1302850775
7,296,5.0,1302850780
7,318,5.0,1302850770
7,333,4.0,1302850835
7,349,4.0,1302850820
8,1,3.0,1167792228
8,3,3.0,1167792245
8,6,3.5,1167792235
8,10,3.5,1167792250
8,17,4.0,1167792260
8,34,3.5,1167792270
8,39,3.0,1167792275
8,47,4.0,1167792215
8,50,4.5,1167792200
8,52,2.5,1167792280
8,62,3.0,1167792285
8,70,3.0,1167792290
8,101,3.5,1167792240
8,110,4.5,1167792195
8,144,3.0,1167792295
8,150,3.5,1167792255
8,161,3.5,1167792265
8,208,3.0,1167792300
8,231,3.5,1167792248
8,260,5.0,1167792185
9,1,5.0,1054779143
9,2,4.5,1054779150
9,6,5.0,1054779130
9,10,4.0,1054779155
9,32,5.0,1054779115
9,47,5.0,1054779105
9,50,5.0,1054779095
9,101,4.5,1054779145
9,110,5.0,1054779090
9,150,4.0,1054779140
9,151,5.0,1054779120
9,153,4.0,1054779135
9,157,5.0,1054779125
9,216,4.5,1054779160
9,231,4.5,1054779155
9,260,5.0,1054779080
9,296,5.0,1054779085
9,318,5.0,1054779075
9,333,4.5,1054779128
9,349,4.0,1054779132
10,1,3.5,1253814802
10,2,3.0,1253814815
10,3,3.0,1253814825
10,6,4.0,1253814795
10,10,3.0,1253814830
10,17,4.5,1253814785
10,32,4.0,1253814775
10,34,4.0,1253814840
10,39,3.5,1253814835
10,47,4.0,1253814765
10,50,5.0,1253814755
10,52,2.5,1253814845
10,62,3.5,1253814850
10,70,3.0,1253814855
10,101,3.5,1253814810
10,110,4.5,1253814750
10,144,3.0,1253814860
10,150,4.0,1253814805
10,260,5.0,1253814740
10,296,4.5,1253814745
11,1,4.0,1076364856
11,6,4.5,1076364845
11,32,5.0,1076364835
11,47,4.5,1076364825
11,50,5.0,1076364815
11,101,4.0,1076364850
11,110,4.5,1076364810
11,151,5.0,1076364830
11,157,4.5,1076364840
11,163,4.0,1076364855
11,216,4.5,1076364860
11,231,4.0,1076364862
11,260,5.0,1076364800
11,296,4.5,1076364805
11,318,5.0,1076364795
11,333,4.0,1076364837
11,337,3.5,1076364842
11,349,4.0,1076364847
11,356,4.5,1076364820
11,208,3.5,1076364852
12,1,3.0,1199186268
12,2,2.5,1199186280
12,3,3.0,1199186290
12,6,3.5,1199186260
12,10,3.0,1199186295
12,17,4.0,1199186250
12,34,3.5,1199186300
12,39,3.5,1199186305
12,47,3.5,1199186240
12,50,4.5,1199186230
12,52,2.0,1199186310
12,62,3.0,1199186315
12,70,2.5,1199186320
12,101,3.0,1199186275
12,110,4.0,1199186225
12,144,2.5,1199186325
12,150,3.5,1199186270
12,161,3.0,1199186285
12,165,2.5,1199186298
12,208,2.5,1199186302
